path,doc_id,category,page_count,acroform_field_count,acroform_set_count,radio_field_count,avg_chars_per_page,has_vector_drawings,error,in_qc_list,targetable_for_visual
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MN/MN.0025/MN.0025.R07.01.pdf,MN0025R0701,flattened,261,0,0,0,2793.0842911877394,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MN/MN.0025/MN.0025.R07.00.pdf,MN0025R0700,flattened,254,0,0,0,2846.996062992126,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MN/MN.0025/MN.0025.R07.02.pdf,MN0025R0702,flattened,175,0,0,0,4210.4971428571425,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MN/MN.0025/MN0025R0803.pdf,MN0025R0803,flattened,336,0,0,0,2295.7261904761904,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MN/MN.0025/MN0025R0811.pdf,MN0025R0811,flattened,335,0,0,0,2301.6716417910447,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MI/MI.0233/MI0233R0503.pdf,MI0233R0503,flattened,260,0,0,0,2333.1769230769232,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MI/MI.0233/MI.0233.90.R1.03.pdf,,flattened,180,0,0,0,3354.3944444444446,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/OK/EmailWithTimeline.pdf,,flattened,1,0,0,0,1629.0,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/OK/EmailWithWaiverMergeInfo.pdf,,flattened,2,0,0,0,878.0,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/OK/OK.0256/OK.0256.R04.04_May2015 .pdf,OK0256R0404,flattened,18,0,0,0,2765.1111111111113,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/OK/OK.0256/OK.0256.R05.00.pdf,OK0256R0500,flattened,210,0,0,0,2952.785714285714,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/OK/OK.0256/OK.0256.R04.04_March2015.pdf,OK0256R0404,flattened,223,0,0,0,2732.4215246636772,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/OK/OK.0256/OK.0256.R05.00_FromOKCaid.pdf,OK0256R0500,flattened,201,0,0,0,2975.094527363184,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/OK/OK.0256/OK0256R0505.pdf,OK0256R0505,flattened,268,0,0,0,2250.6082089552237,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/OK/OK.0809/OK.0809.R00.01.pdf,OK0809R0001,flattened,210,0,0,0,2688.885714285714,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/IN/IN.0387/IN0387R0402.pdf,IN0387R0402,flattened,340,0,0,0,2315.141176470588,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/IN/IN.0378/IN0378R0402.pdf,IN0378R0402,flattened,376,0,0,0,2308.523936170213,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CO/CO.0006/CO.0006.R06.02.pdf,CO0006R0602,flattened,188,0,0,0,2661.1702127659573,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CO/CO.0006/CO.0006.R06.00.pdf,CO0006R0600,flattened,189,0,0,0,2640.5185185185187,True,,True,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CO/CO.0961/CO0961R0201.pdf,CO0961R0201,flattened,306,0,0,0,2210.251633986928,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CO/CO.0961/CO0961R0200.pdf,CO0961R0200,flattened,296,0,0,0,2179.5033783783783,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CO/CO.0961/CO0961R0202.pdf,CO0961R0202,flattened,304,0,0,0,2203.6973684210525,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CA/CA.0141/CA.0141.R04.00_Email.pdf,CA0141R0400,flattened,141,0,0,0,2531.432624113475,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CA/CA.0486/CA0486R0200.pdf,CA0486R0200,flattened,164,0,0,0,2119.481707317073,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/IA/IA.0299/IA0299R0501.pdf,IA0299R0501,flattened,392,0,0,0,2542.9591836734694,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CT/CT.0140/CT.0140.R05.00.pdf,CT0140R0500,flattened,114,0,0,0,2394.9122807017543,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CT/CT.0301/CT0301R0501.pdf,CT0301R0501,flattened,173,0,0,0,2086.543352601156,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/FL/Aged and Disabled Adult Waiver Services Coverage and Limitations Handboo....pdf,,flattened,120,0,0,0,1829.2333333333333,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/FL/FL Summary of Changes Feb 21 2012.pdf,,flattened,69,0,0,0,3057.2753623188405,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/FL/Assisted Living Waiver Services Coverage and Limitations Handbook.pdf,,flattened,99,0,0,0,1519.979797979798,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/FL/FL.0962/FL.0962.R00.01.pdf,FL0962R0001,flattened,207,0,0,0,2442.454106280193,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/FL/FL.40166/FL40166R0600.pdf,FL40166R0600,flattened,118,0,0,0,2274.0677966101694,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/WV/Eff_12012015.pdf,,flattened,66,0,0,0,3673.9545454545455,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/WV/WV.0133/WV0133R0700.pdf,WV0133R0700,flattened,258,0,0,0,2301.8875968992247,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/WV/WV.0134/WV0134R0703.pdf,WV0134R0703,flattened,179,0,0,0,2120.240223463687,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/WV/WV.0134/WV0134R0700.pdf,WV0134R0700,flattened,178,0,0,0,2118.7921348314608,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/WV/WV0876R02/WV0876R0200.pdf,WV0876R0200,flattened,184,0,0,0,2270.4021739130435,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/WY/WY.0236/WY0236R0502.pdf,WY0236R0502,flattened,183,0,0,0,2239.2950819672133,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/TX/TX.0266/0266.R03.02 Effective 9-1-2009/CBA 0266 waiver.pdf,,flattened,149,0,0,0,3389.241610738255,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/TX/TX.0266/0266.R04.02 Effective 7-8-2014/20140714 TX0266.R04.02 Approved Waiver Application.pdf,TX0266R0402,flattened,229,0,0,0,2687.1397379912664,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/TX/TX.0266/0266.R03.07 Effective 3-1-2012/20120319 HHSCSubmission.pdf,,flattened,149,0,0,0,3294.020134228188,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/TX/TX.0266/0266.R04.00 Effective 9-1-2012/20120522 HHSCSubmittal.pdf,,flattened,210,0,0,0,2829.1285714285714,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/TX/TX.0266/0266.R03.06 Effective 1-1-2012/20111205 HHSCSubmittal.pdf,,flattened,149,0,0,0,3278.7046979865772,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/TX/TX.0266/0266.R04.01 Effective 9-1-2012/20130301 0266.R04.01 Waiver App Submittal.pdf,,flattened,217,0,0,0,2767.672811059908,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/TX/TX.0266/0266.R03.04 Effective 9-1-2010/20110628 HHSC Submission.pdf,,flattened,149,0,0,0,3309.2080536912754,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/TX/TX.0266/0266.R03.05 Effective 12-1-2011/20110901 HHSC submission.pdf,,flattened,149,0,0,0,3324.6040268456377,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/TX/TX.0266/0266.R03.03 Effective 9-1-2009/Pages from 20100819 HHSC Submission.pdf,,flattened,149,0,0,0,3326.087248322148,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/TX/TX.0266/0266.R04.03 CBA Transition/CBA Amd 3 final.pdf,,flattened,234,0,0,0,2774.08547008547,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/TX/TX.0266/0266.R04.03 CBA Transition/20140110 CBA Transition Plan.pdf,,flattened,11,0,0,0,2539.5454545454545,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/PA/PA.0279/PA.0279.R04.10.pdf,PA0279R0410,flattened,233,0,0,0,3630.1630901287554,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/PA/PA.0279/PA.0279.R04.02.pdf,PA0279R0402,flattened,156,0,0,0,3158.5384615384614,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/PA/PA.0279/PA.0279.R03.09.pdf,PA0279R0309,flattened,221,0,0,0,2492.981900452489,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/PA/PA.0279/PA.0279.R04.00.pdf,PA0279R0400,flattened,45,0,0,0,3885.5333333333333,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/PA/PA.0386/PA.0386.R02.07.pdf,PA0386R0207,flattened,195,0,0,0,2647.9282051282053,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/NC/NC.11-055/NC-11-055-179.pdf,,flattened,1,0,0,0,1898.0,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/NC/NC.0132/NC0132R0701.pdf,NC0132R0701,flattened,307,0,0,0,2341.71986970684,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/ND/ND.0273/ND0273R0506.pdf,ND0273R0506,flattened,217,0,0,0,2405.84331797235,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/ME/ME.0995/ME-0995-R00-00-Approval-Letter.pdf,,flattened,2,0,0,0,1836.5,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/ME/ME.0995/ME-0995-R00-01-Approval-Letter.pdf,,flattened,2,0,0,0,1486.5,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/ME/ME.0159/ME0159R0700.pdf,ME0159R0700,flattened,280,0,0,0,2380.0714285714284,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/ME/ME.0159/ME0159R0701.pdf,ME0159R0701,flattened,264,0,0,0,2301.2651515151515,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/AR/AR Waiver Merger July 2014.pdf,,flattened,153,0,0,0,2815.843137254902,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/AR/AR.0400/AR.0400.R02.02_AppendixJ.pdf,AR0400R0202,flattened,5,0,0,0,1864.8,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/NV/NV.0152/MSM_2200_12_09_12.pdf,,flattened,47,0,0,0,2100.468085106383,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/NV/NV.0152/NV0152R0700.pdf,NV0152R0700,flattened,178,0,0,0,2310.005617977528,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/NV/NV.0152/NV0152R0701.pdf,NV0152R0701,flattened,182,0,0,0,2333.2252747252746,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/NV/NV.0152/NV0152/NV0152R0700.pdf,NV0152R0700,flattened,178,0,0,0,2310.005617977528,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/NV/NV.4150/NV4150R0605.pdf,NV4150R0605,flattened,195,0,0,0,2390.0307692307692,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/DC/DC.0334/DC0334R0402.pdf,DC0334R0402,flattened,226,0,0,0,2614.973451327434,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/DC/DC.0334/DC.0334.90.R1.02.pdf,,flattened,212,0,0,0,2216.3915094339623,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/MD/MD.0265/MD.0265.R04.03_Emailed.pdf,MD0265R0403,flattened,84,0,0,0,4380.785714285715,True,,False,True
