path,doc_id,category,page_count,acroform_field_count,acroform_set_count,radio_field_count,avg_chars_per_page,has_vector_drawings,error,in_qc_list,targetable_for_visual
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CA/CA.0139/CA0139R0600.PDF,CA0139R0600,acroform_filled,408,1132,424,1132,2537.6348039215686,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CA/CA.0139/CA0139R0601.PDF,CA0139R0601,acroform_filled,402,1133,410,1133,2538.126865671642,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CA/CA.0139/CA0139R0603.PDF,CA0139R0603,acroform_filled,401,1133,408,1133,2542.214463840399,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CA/CA.0139/CA0139R0602.PDF,CA0139R0602,acroform_filled,406,1133,408,1133,2560.923645320197,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CA/CA.0486/CA0486R0200.pdf,CA0486R0200,flattened,164,0,0,0,2119.481707317073,True,,False,True
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CA/CA.0431/CA.0431 July 2013 Amendment Doc.pdf,,scanned,4,0,0,0,16.0,False,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CA/CA.0431/CA0431R0401.PDF,CA0431R0401,acroform_filled,151,797,264,797,2449.6026490066224,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CA/CA.0431/CA0431R0400.PDF,CA0431R0400,acroform_filled,150,782,266,782,2454.02,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CA/CA.0336/CA0336R0500.PDF,CA0336R0500,acroform_filled,395,1539,693,1539,2129.713924050633,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CA/CA.0336/CA0336R0503.PDF,CA0336R0503,acroform_filled,401,1540,679,1540,2157.705735660848,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CA/CA.0336/CA0336R0502.PDF,CA0336R0502,acroform_filled,395,1532,667,1532,2141.359493670886,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CA/CA.0336/CA0336R0505.PDF,CA0336R0505,acroform_filled,403,1542,680,1542,2166.255583126551,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/CA/CA.1166/CA1166R0100.PDF,CA1166R0100,acroform_filled,335,1800,749,1800,1987.1970149253732,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/IA/1204 Assisted Living Iowa 2013.pdf,,scanned,2,0,0,0,2956.5,False,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/IA/IA.0242/IA0242R0700.PDF,IA0242R0700,acroform_filled,389,1697,742,1697,2519.8046272493575,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/IA/IA.4111/IA4111R0801.PDF,IA4111R0801,acroform_filled,347,1651,693,1651,2520.769452449568,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/IA/IA.4111/IA4111R0800.PDF,IA4111R0800,acroform_filled,323,1629,680,1629,2500.30959752322,False,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/IA/IA.4155/IA4155R0700.PDF,IA4155R0700,acroform_filled,370,1624,701,1624,2506.1783783783785,False,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/IA/IA.0213/IA0213R0600.pdf,IA0213R0600,acroform_filled,309,1540,653,1540,2551.640776699029,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/IA/IA.0213/IA0213R0602.PDF,IA0213R0602,acroform_filled,306,1545,639,1545,2573.843137254902,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/IA/IA.0213/IA0213R0603.PDF,IA0213R0603,acroform_filled,317,1543,656,1543,2597.8675078864353,True,,True,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/IA/IA.0299/IA0299R0506.PDF,IA0299R0506,acroform_filled,392,1697,714,1697,2581.612244897959,True,,False,False
/Users/vigneshrbabu/Documents/HealthPolicyManagement/1915(c) waivers/IA/IA.0299/IA0299R0510.PDF,IA0299R0510,acroform_filled,422,1740,746,1740,2574.063981042654,True,,False,False
